"","practicecode","postcode","healthboard","ageband","malecount","femalecount","indeterminatecount","count","year","month","lsoa"
"180","W00166","NP4 0AH","Aneurin Bevan",20,0,0,0,0,2020,"April","W01001556"
"181","W00166","NP4 0AH","Aneurin Bevan",21,1,0,0,1,2020,"April","W01001556"
"182","W00166","NP4 0AH","Aneurin Bevan",22,0,0,0,0,2020,"April","W01001556"
"183","W00166","NP4 0AH","Aneurin Bevan",23,0,0,0,0,2020,"April","W01001556"
"184","W00166","NP4 0AH","Aneurin Bevan",24,0,0,0,0,2020,"April","W01001556"
"185","W00166","NP4 0AH","Aneurin Bevan",25,0,0,0,0,2020,"April","W01001556"
"186","W00166","NP4 0AH","Aneurin Bevan",26,0,0,0,0,2020,"April","W01001556"
"187","W00166","NP4 0AH","Aneurin Bevan",27,1,0,0,1,2020,"April","W01001556"
"188","W00166","NP4 0AH","Aneurin Bevan",28,0,0,0,0,2020,"April","W01001556"
"189","W00166","NP4 0AH","Aneurin Bevan",29,0,0,0,0,2020,"April","W01001556"
"190","W00166","NP4 0AH","Aneurin Bevan",30,0,0,0,0,2020,"April","W01001556"
"191","W00166","NP4 0AH","Aneurin Bevan",31,0,0,0,0,2020,"April","W01001556"
"192","W00166","NP4 0AH","Aneurin Bevan",32,0,0,0,0,2020,"April","W01001556"
"193","W00166","NP4 0AH","Aneurin Bevan",33,0,0,0,0,2020,"April","W01001556"
"194","W00166","NP4 0AH","Aneurin Bevan",34,0,0,0,0,2020,"April","W01001556"
"195","W00166","NP4 0AH","Aneurin Bevan",35,0,0,0,0,2020,"April","W01001556"
"196","W00166","NP4 0AH","Aneurin Bevan",36,0,0,0,0,2020,"April","W01001556"
"197","W00166","NP4 0AH","Aneurin Bevan",37,0,0,0,0,2020,"April","W01001556"
"198","W00166","NP4 0AH","Aneurin Bevan",38,0,0,0,0,2020,"April","W01001556"
"199","W00166","NP4 0AH","Aneurin Bevan",39,0,0,0,0,2020,"April","W01001556"
"200","W00166","NP4 0AH","Aneurin Bevan",40,0,0,0,0,2020,"April","W01001556"
"201","W00166","NP4 0AH","Aneurin Bevan",41,0,0,0,0,2020,"April","W01001556"
"202","W00166","NP4 0AH","Aneurin Bevan",42,0,0,0,0,2020,"April","W01001556"
"203","W00166","NP4 0AH","Aneurin Bevan",43,1,0,0,1,2020,"April","W01001556"
"204","W00166","NP4 0AH","Aneurin Bevan",44,0,0,0,0,2020,"April","W01001556"
"205","W00166","NP4 0AH","Aneurin Bevan",45,0,0,0,0,2020,"April","W01001556"
"206","W00166","NP4 0AH","Aneurin Bevan",46,1,0,0,1,2020,"April","W01001556"
"207","W00166","NP4 0AH","Aneurin Bevan",47,0,0,0,0,2020,"April","W01001556"
"208","W00166","NP4 0AH","Aneurin Bevan",48,0,0,0,0,2020,"April","W01001556"
"209","W00166","NP4 0AH","Aneurin Bevan",49,0,0,0,0,2020,"April","W01001556"
"210","W00166","NP4 0AH","Aneurin Bevan",50,1,0,0,1,2020,"April","W01001556"
"211","W00166","NP4 0AH","Aneurin Bevan",51,0,0,0,0,2020,"April","W01001556"
"212","W00166","NP4 0AH","Aneurin Bevan",52,0,0,0,0,2020,"April","W01001556"
"213","W00166","NP4 0AH","Aneurin Bevan",53,0,0,0,0,2020,"April","W01001556"
"214","W00166","NP4 0AH","Aneurin Bevan",54,0,0,0,0,2020,"April","W01001556"
"215","W00166","NP4 0AH","Aneurin Bevan",55,0,0,0,0,2020,"April","W01001556"
"216","W00166","NP4 0AH","Aneurin Bevan",56,0,0,0,0,2020,"April","W01001556"
"217","W00166","NP4 0AH","Aneurin Bevan",57,0,0,0,0,2020,"April","W01001556"
"218","W00166","NP4 0AH","Aneurin Bevan",58,0,0,0,0,2020,"April","W01001556"
"219","W00166","NP4 0AH","Aneurin Bevan",59,1,0,0,1,2020,"April","W01001556"
"220","W93001","NP11 5GX","Aneurin Bevan",0,44,35,0,79,2020,"April","W01001327"
"221","W93001","NP11 5GX","Aneurin Bevan",1,50,39,0,89,2020,"April","W01001327"
"222","W93001","NP11 5GX","Aneurin Bevan",2,38,55,0,93,2020,"April","W01001327"
"223","W93001","NP11 5GX","Aneurin Bevan",3,47,30,0,77,2020,"April","W01001327"
